티커,BPS,PER,PBR,EPS,DIV,DPS
095570,8076,20.95,0.52,201,6.41,270
006840,41948,0.0,0.48,0,1.0,200
027410,16528,14.6,0.22,247,3.05,110
282330,55724,14.63,2.94,11203,2.5,4100
138930,30468,2.74,0.22,2404,9.48,625
001460,825735,9.84,0.5,42272,0.72,3000
001465,0,0.0,0.0,0,2.12,3050
001040,191537,12.0,0.38,6023,3.46,2500
079160,5510,0.0,1.51,0,0.0,0
00104K,0,0.0,0.0,0,4.27,2550
000120,179031,9.63,0.44,8190,0.63,500
011150,2107,14.76,1.44,205,0.0,0
011155,0,0.0,0.0,0,0.0,0
001045,0,0.0,0.0,0,5.83,2550
097950,459670,8.27,0.67,37188,1.79,5500
097955,0,0.0,0.0,0,4.05,5550
000480,21609,6.82,0.4,1279,5.16,450
000590,242997,4.66,0.24,12700,0.84,500
012030,1492,60.27,1.21,30,0.0,0
016610,22203,0.0,0.18,0,4.17,170
005830,89508,4.89,0.89,16373,5.74,4600
000990,37784,4.07,1.38,12858,2.49,1300
139130,31812,3.2,0.23,2266,8.95,650
001530,31182,7.15,0.64,2803,1.25,250
000210,194062,14.0,0.19,2679,2.67,1000
001880,45294,4.8,0.26,2445,2.13,250
000215,0,0.0,0.0,0,5.32,1050
375500,114397,2.97,0.26,10130,3.33,1000
37550L,0,0.0,0.0,0,4.72,1000
37550K,0,0.0,0.0,0,5.7,1050
007340,101507,4.17,0.86,20987,2.86,2500
004840,18971,63.38,0.27,80,0.79,40
155660,12480,2.98,0.36,1502,1.34,60
069730,12715,2.25,0.36,2009,1.33,60
017940,249560,2.35,0.23,24536,6.25,3600
383220,24159,9.12,4.37,11571,1.52,1600
007700,52493,5.19,0.33,3384,1.99,350
114090,6183,0.0,2.63,0,0.0,0
078930,133899,1.66,0.28,22634,6.66,2500
006360,56917,3.46,0.24,3997,9.4,1300
001250,4813,2.92,0.52,851,0.0,0
007070,39627,60.13,0.6,395,1.81,430
