티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,6110,5720,-390,-6.38,2947645,17162545200
006840,AK홀딩스,15150,17200,2050,13.53,455492,7706148650
027410,BGF,4365,4305,-60,-1.37,14388855,62685829240
282330,BGF리테일,205500,210500,5000,2.43,712994,146603104000
138930,BNK금융지주,7390,6500,-890,-12.04,37130723,264104001940
001460,BYC,372000,366000,-6000,-1.61,8796,3220110500
001465,BYC우,140000,142500,2500,1.79,1545,218162000
001040,CJ,76700,84100,7400,9.65,1066219,86457562004
079160,CJCGV,17550,16950,-600,-3.42,8422062,160268026800
00104K,CJ4우전환,70100,72900,2800,3.99,84718,6051684700
000120,CJ대한통운,88400,93700,5300,6.0,1512762,136894091300
011150,CJ씨푸드,2755,2875,120,4.36,15038899,47763850690
011155,CJ씨푸드1우,25000,25850,850,3.4,25577,724526800
001045,CJ우,49600,49200,-400,-0.81,51907,2602142350
097950,CJ제일제당,395000,380500,-14500,-3.67,706709,269158868000
097955,CJ제일제당우,171000,168500,-2500,-1.46,42839,7276678000
000590,CS홀딩스,62800,57600,-5200,-8.28,30197,1826604700
012030,DB,834,803,-31,-3.72,12946841,12423761635
016610,DB금융투자,4565,4100,-465,-10.19,2184105,9944895615
005830,DB손해보험,62100,65300,3200,5.15,2547552,164139882288
000990,DB하이텍,44600,37150,-7450,-16.7,6486630,270214162050
000995,DB하이텍1우,92400,68900,-23500,-25.43,11662,945317300
139130,DGB금융지주,7920,6990,-930,-11.74,18078170,139728471790
001530,DI동일,15802,15050,-752,-4.76,1795164,30047623750
000210,DL,68800,59200,-9600,-13.95,1235803,78130635600
001880,DL건설,15750,14850,-900,-5.71,801995,13236875500
000215,DL우,37550,33900,-3650,-9.72,32106,1155846300
375500,DL이앤씨,41850,33750,-8100,-19.35,3228619,120943158700
37550L,DL이앤씨2우전환,29450,25700,-3750,-12.73,36442,1014583650
37550K,DL이앤씨우,26250,23300,-2950,-11.24,46554,1179443150
007340,DN오토모티브,76200,64100,-12100,-15.88,666945,46124152100
004840,DRB동일,4385,4080,-305,-6.96,214227,924540695
155660,DSR,6370,5530,-840,-13.19,661157,3987517670
069730,DSR제강,5770,4775,-995,-17.24,1418196,7602793205
017940,E1,49350,45450,-3900,-7.9,248362,11883309350
365550,ESR켄달스퀘어리츠,4025,3990,-35,-0.87,5369095,21146172469
383220,FF,151500,144500,-7000,-4.62,4181750,613384198500
007700,FF홀딩스,28550,30450,1900,6.65,25128861,768791922800
114090,GKL,16900,18900,2000,11.83,9218061,166763481700
078930,GS,48600,43800,-4800,-9.88,2739672,125956450150
006360,GS건설,23400,21150,-2250,-9.62,22787652,527856708950
001250,GS글로벌,2710,2250,-460,-16.97,8442198,20896600030
007070,GS리테일,29800,28150,-1650,-5.54,3087384,90304640250
078935,GS우,36050,34100,-1950,-5.41,104865,3751423300
012630,HDC,5740,5490,-250,-4.36,1234515,7087570290
039570,HDC랩스,7830,7600,-230,-2.94,610748,5059920490
089470,HDC현대EP,4175,3955,-220,-5.27,1785911,7613561810
294870,HDC현대산업개발,11050,10000,-1050,-9.5,4620931,49034570570
267250,HD현대,64500,57100,-7400,-11.47,3317919,210970156800
097230,HJ중공업,4430,3915,-515,-11.63,1005809,4172218160
014790,HLDI,3005,2680,-325,-10.82,1559059,4751148285
003580,HLB글로벌,6630,5470,-1160,-17.5,4763569,29488686380
204320,HL만도,48000,40300,-7700,-16.04,4447304,198728332125
060980,HL홀딩스,33350,30750,-2600,-7.8,541435,17432997800
011200,HMM,22300,19550,-2750,-12.33,37585234,810592737100
082740,HSD엔진,7510,7420,-90,-1.2,8757630,65003428680
003560,IHQ,714,423,-291,-40.76,118882427,63610310979
175330,JB금융지주,8420,7890,-530,-6.29,15774714,130886047556
234080,JW생명과학,12350,12150,-200,-1.62,420250,5198450650
001060,JW중외제약,19650,18900,-750,-3.82,1930748,38260720150
001067,JW중외제약2우B,63100,65100,2000,3.17,822,53559300
001065,JW중외제약우,34800,32350,-2450,-7.04,10131,342372400
096760,JW홀딩스,3060,2980,-80,-2.61,858396,2641374355
105560,KB금융,52500,48500,-4000,-7.62,24268298,1259911009773
432320,KB스타리츠,4480,4425,-55,-1.23,1255123,5633778630
002380,KCC,238500,204500,-34000,-14.26,562932,128346167500
344820,KCC글라스,41000,36950,-4050,-9.88,453280,17480606450
009070,KCTC,5050,4550,-500,-9.9,3267451,15840773250
009440,KC그린홀딩스,3235,2820,-415,-12.83,1949951,6105186835
119650,KC코트렐,2550,1820,-730,-28.63,4157557,9147978565
092220,KEC,2420,1955,-465,-19.21,19583258,43555076275
016380,KG스틸,9070,7390,-1680,-18.52,7441862,61337344570
001390,KG케미칼,24150,20550,-3600,-14.91,1077413,24493067900
033180,KH필룩스,960,663,-297,-30.94,75542062,78871481014
001940,KISCO홀딩스,17350,15650,-1700,-9.8,485334,7794927700
025000,KPX케미칼,50700,51000,300,0.59,69728,3550894550
092230,KPX홀딩스,55100,54000,-1100,-2.0,83476,4915162600
000040,KR모터스,592,560,-32,-5.41,3826959,2164728630
044450,KSS해운,9590,9250,-340,-3.55,558675,5310853500
030200,KT,37400,33800,-3600,-9.63,17304497,630509732292
033780,KTG,99900,91500,-8400,-8.41,8030294,775975626588
058850,KTcs,2320,2185,-135,-5.82,1357258,3125745235
058860,KTis,2620,2415,-205,-7.82,1193995,2990442180
093050,LF,16050,15900,-150,-0.93,906620,14757269350
003550,LG,84100,78100,-6000,-7.13,3311035,266389315349
034220,LG디스플레이,14450,12450,-2000,-13.84,23366339,316906689500
051900,LG생활건강,656000,722000,66000,10.06,1433149,1002451026668
051905,LG생활건강우,279500,315500,36000,12.88,386302,116423824250
373220,LG에너지솔루션,587000,435500,-151500,-25.81,7382847,3729892829031
003555,LG우,62500,59700,-2800,-4.48,66054,4104982700
032640,LG유플러스,12100,11050,-1050,-8.68,12762321,150200112700
011070,LG이노텍,310500,252500,-58000,-18.68,4514804,1278893457825
066570,LG전자,97600,86500,-11100,-11.37,14310222,1306132077100
066575,LG전자우,45850,42050,-3800,-8.29,627444,27204587550
037560,LG헬로비전,5110,4400,-710,-13.89,10013249,51726291290
051910,LG화학,740000,600000,-140000,-18.92,3713236,2417218671759
051915,LG화학우,335000,277500,-57500,-17.16,286480,86149086516
079550,LIG넥스원,92500,92200,-300,-0.32,3803813,340660561900
006260,LS,75200,69700,-5500,-7.31,2471736,175538536800
010120,LSELECTRIC,57700,56400,-1300,-2.25,2229696,126008882400
000680,LS네트웍스,2575,2400,-175,-6.8,520231,1276212870
229640,LS전선아시아,8140,7290,-850,-10.44,3547764,28126469560
108320,LX세미콘,87700,71700,-16000,-18.24,2132495,172843292100
001120,LX인터내셔널,41200,33950,-7250,-17.6,6538633,255844237720
108670,LX하우시스,35650,31250,-4400,-12.34,434720,14924923150
108675,LX하우시스우,17350,15900,-1450,-8.36,46204,794346050
383800,LX홀딩스,9430,8460,-970,-10.29,2502845,22626891720
38380K,LX홀딩스1우,11950,11050,-900,-7.53,28157,327306400
023150,MH에탄올,8100,7610,-490,-6.05,602465,4939569810
035420,NAVER,187000,177500,-9500,-5.08,15456239,2881925695860
181710,NHN,24700,24900,200,0.81,971203,23854114450
400760,NH올원리츠,3145,3400,255,8.11,3296673,10873416985
005940,NH투자증권,9630,8770,-860,-8.93,10361203,98240952020
005945,NH투자증권우,9470,8740,-730,-7.71,1233264,11534367070
338100,NH프라임리츠,4015,4040,25,0.62,275564,1111143315
034310,NICE,12550,12900,350,2.79,1161372,15267218400
008260,NI스틸,4920,4475,-445,-9.04,2396617,10802386060
004250,NPC,7090,5820,-1270,-17.91,2891545,18896635380
004255,NPC우,3655,3010,-645,-17.65,278511,950000960
010060,OCI,95100,80800,-14300,-15.04,4998649,451923425600
178920,PI첨단소재,32100,28900,-3200,-9.97,2297283,70568611250
005490,POSCO홀딩스,299500,276500,-23000,-7.68,8156754,2348366041745
010950,S-Oil,87200,83400,-3800,-4.36,6181593,534032456368
010955,S-Oil우,58500,53900,-4600,-7.86,352331,20537490300
034120,SBS,34100,34550,450,1.32,746347,26270844800
005090,SGC에너지,35000,30950,-4050,-11.57,999399,33284439400
001380,SG글로벌,1720,1705,-15,-0.87,20349557,36631518140
004060,SG세계물산,550,534,-16,-2.91,12797807,6945711862
001770,SHD,39300,31900,-7400,-18.83,206856,7525869200
002360,SH에너지화학,953,821,-132,-13.85,17153960,15635658327
009160,SIMPAC,5830,4685,-1145,-19.64,2097970,11508069155
123700,SJM,4550,4200,-350,-7.69,2055317,9702388075
