티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
060310,3S,3318765,3318765,0,7721430565,7721430565,0
095570,AJ네트웍스,2947645,2947645,0,17162545200,17162545200,0
006840,AK홀딩스,455492,455492,0,7706148650,7706148650,0
054620,APS홀딩스,4001612,4001612,0,59468996600,59468996600,0
265520,AP시스템,1662030,1662030,0,31586148100,31586148100,0
211270,AP위성,5009659,5009659,0,54453097330,54453097330,0
027410,BGF,14388855,14388855,0,62685829240,62685829240,0
282330,BGF리테일,712994,712994,0,146603104000,146603104000,0
138930,BNK금융지주,37130723,37130723,0,264104001940,264104001940,0
001460,BYC,8796,8796,0,3220110500,3220110500,0
001465,BYC우,1545,1545,0,218162000,218162000,0
013720,CBI,830237971,830237971,0,407096451434,407096451434,0
001040,CJ,1066219,1066219,0,86457562004,86457562004,0
079160,CJ CGV,8422062,8422062,0,160268026800,160268026800,0
035760,CJ ENM,5281515,5281515,0,499291981500,499291981500,0
311690,CJ 바이오사이언스,308566,308566,0,9052415200,9052415200,0
00104K,CJ4우(전환),84718,84718,0,6051684700,6051684700,0
000120,CJ대한통운,1512762,1512762,0,136894091300,136894091300,0
011150,CJ씨푸드,15038899,15038899,0,47763850690,47763850690,0
011155,CJ씨푸드1우,25577,25577,0,724526800,724526800,0
001045,CJ우,51907,51907,0,2602142350,2602142350,0
097950,CJ제일제당,706709,706709,0,269158868000,269158868000,0
097955,CJ제일제당 우,42839,42839,0,7276678000,7276678000,0
051500,CJ프레시웨이,1168919,1168919,0,38068014450,38068014450,0
058820,CMG제약,54929511,54929511,0,127959082715,127959082715,0
023460,CNH,1066809,1066809,0,2890965860,2890965860,0
065770,CS,3381730,3381730,0,5600422915,5600422915,0
083660,CSA 코스믹,753862,753862,0,745749703,745749703,0
000590,CS홀딩스,30197,30197,0,1826604700,1826604700,0
012030,DB,12946841,12946841,0,12423761635,12423761635,0
404950,DB금융스팩10호,184249,184249,0,368386130,368386130,0
367340,DB금융스팩8호,311509,311509,0,622699875,622699875,0
367360,DB금융스팩9호,128665,128665,0,257775810,257775810,0
016610,DB금융투자,2184105,2184105,0,9944895615,9944895615,0
005830,DB손해보험,2547552,2547552,0,164139882288,164139882288,0
000990,DB하이텍,6486630,6486630,0,270214162050,270214162050,0
000995,DB하이텍1우,11662,11662,0,945317300,945317300,0
139130,DGB금융지주,18078170,18078170,0,139728471790,139728471790,0
001530,DI동일,1795164,1795164,0,30047623750,30047623750,0
000210,DL,1235803,1235803,0,78130635600,78130635600,0
001880,DL건설,801995,801995,0,13236875500,13236875500,0
000215,DL우,32106,32106,0,1155846300,1155846300,0
375500,DL이앤씨,3228619,3228619,0,120943158700,120943158700,0
37550L,DL이앤씨2우(전환),36442,36442,0,1014583650,1014583650,0
37550K,DL이앤씨우,46554,46554,0,1179443150,1179443150,0
068790,DMS,2664939,2664939,0,15801020500,15801020500,0
007340,DN오토모티브,666945,666945,0,46124152100,46124152100,0
004840,DRB동일,214227,214227,0,924540695,924540695,0
241520,DSC인베스트먼트,4181163,4181163,0,16980143640,16980143640,0
155660,DSR,661157,661157,0,3987517670,3987517670,0
069730,DSR제강,1418196,1418196,0,7602793205,7602793205,0
017940,E1,248362,248362,0,11883309350,11883309350,0
245620,EDGC,24791988,24791988,0,51859694020,51859694020,0
037370,EG,388287,388287,0,3153883080,3153883080,0
278990,EMB,7933,7933,0,31558120,31558120,0
365550,ESR켄달스퀘어리츠,5369095,5369095,0,21146172469,21146172469,0
050120,ES큐브,517052,517052,0,2327565180,2327565180,0
084180,EV수성,44191264,44191264,0,68501201210,68501201210,0
383220,F&F,4181750,4181750,0,613384198500,613384198500,0
007700,F&F홀딩스,25128861,25128861,0,768791922800,768791922800,0
214270,FSN,57174825,57174825,0,237844240845,237844240845,0
130500,GH신소재,16145908,16145908,0,72328758985,72328758985,0
114090,GKL,9218061,9218061,0,166763481700,166763481700,0
900290,GRT,1290922,1290922,0,3221962980,3221962980,0
078930,GS,2739672,2739672,0,125956450150,125956450150,0
083450,GST,669566,669566,0,14204099150,14204099150,0
006360,GS건설,22787652,22787652,0,527856708950,527856708950,0
001250,GS글로벌,8442198,8442198,0,20896600030,20896600030,0
007070,GS리테일,3087384,3087384,0,90304640250,90304640250,0
078935,GS우,104865,104865,0,3751423300,3751423300,0
297890,HB솔루션,1145159,1145159,0,15629946450,15629946450,0
078150,HB테크놀러지,4658802,4658802,0,9136731740,9136731740,0
012630,HDC,1234515,1234515,0,7087570290,7087570290,0
039570,HDC랩스,610748,610748,0,5059920490,5059920490,0
089470,HDC현대EP,1785911,1785911,0,7613561810,7613561810,0
294870,HDC현대산업개발,4620931,4620931,0,49034570570,49034570570,0
267250,HD현대,3317919,3317919,0,210970156800,210970156800,0
097230,HJ중공업,1005809,1005809,0,4172218160,4172218160,0
195940,HK이노엔,2750619,2750619,0,106852749750,106852749750,0
014790,HL D&I,1559059,1559059,0,4751148285,4751148285,0
028300,HLB,14231081,14231081,0,448201356750,448201356750,0
003580,HLB글로벌,4763569,4763569,0,29488686380,29488686380,0
343090,HLB사이언스,100673,100673,0,256218450,256218450,0
067630,HLB생명과학,11818447,11818447,0,131885805900,131885805900,0
047920,HLB제약,3824246,3824246,0,45793377400,45793377400,0
115450,HLB테라퓨틱스,2674403,2674403,0,29255054150,29255054150,0
204320,HL만도,4447304,4447304,0,198728332125,198728332125,0
060980,HL홀딩스,541435,541435,0,17432997800,17432997800,0
011200,HMM,37585234,37585234,0,810592737100,810592737100,0
403870,HPSP,2326234,2326234,0,137275076200,137275076200,0
