,ticker,name,stock_list
0,1001,코스피,"['005930', '373220', '000660', '207940', '005490', '006400', '051910', '005380', '003670', '035420', '000270', '012330', '035720', '105560', '068270', '028260', '055550', '066570', '096770', '047050', '032830', '003550', '000810', '033780', '329180', '323410', '015760', '086790', '018260', '034020', '009150', '138040', '034730', '017670', '010130', '352820', '316140', '030200', '003490', '024110', '009540', '011200', '010950', '042660', '259960', '001570', '010140', '090430', '051900', '028050', '326030', '086280', '361610', '009830', '402340', '011070', '005830', '377300', '302440', '012450', '011170', '241560', '000100', '036570', '088980', '042700', '005070', '271560', '018880', '047810', '267250', '097950', '004020', '034220', '161390', '032640', '307950', '000720', '006800', '383220', '251270', '011780', '128940', '029780', '078930', '010620', '008770', '005940', '006260', '011790', '035250', '016360', '064350', '021240', '180640', '010120', '071050', '282330', '112610', '039490', '002790', '003410', '004370', '001450', '052690', '267260', '007070', '004990', '272210', '081660', '111770', '000990', '036460', '008930', '028670', '138930', '139480', '030000', '006740', '012750', '020150', '042670', '298050', '088350', '204320', '047040', '014680', '001040', '004170', '007660', '000150', '000880', '023530', '298040', '079550', '175330', '192820', '002380', '026960', '006040', '000120', '001740', '017800', '248070', '336260', '051600', '069960', '010060', '011210', '001440', '004000', '005420', '005850', '006110', '007310', '003620', '267270', '003230', '353200', '108320', '120110', '137310', '145720', '161890', '032350', '073240', '009240', '004800', '006280', '000080', '002710', '298020', '285130', '001120', '375500', '457190', '100090', '139130', '185750', '195870', '069620', '009420', '011810', '018670', '003690', '005300', '006360', '336370', '280360', '001800', '089590', '089860', '093370', '103140', '114090', '181710', '069260', '009900', '009970', '010780', '012510', '014820', '019170', '007340', '395400', '000240', '000670', '001060', '456040', '214320', '003090', '272450', '300720', '082640', '082740', '085620', '090460', '105630', '161000', '178920', '192080', '192650', '039130', '064960', '009450', '016380', '020560', '023590', '003540', '004490', '006120', '006650', '008730', '330590', '348950', '365550', '000210', '001430', '001470', '002350', '002840', '003030', '271940', '268280', '003240', '294870', '344820', '377740', '381970', '383800', '403550', '091810', '097520', '170900', '192400', '030190', '031430', '033240', '034120', '034310', '049770', '057050', '068400', '074610', '011930', '013890', '017960', '018250', '025540', '003470', '003530', '003850', '005180', '005250', '005610', '005880', '007460', '007700', '293940', '000070', '000400', '000640', '001390', '001530', '001680', '001720', '002240', '284740', '210980', '226320', '229640', '241590', '249420', '281820', '286940', '298000', '298690', '306200', '322000', '363280', '453340', '460860', '462520', '084010', '092220', '093050', '093230', '096760', '097230', '102460', '103590', '108670', '122900', '123890', '126560', '126720', '138490', '145990', '183190', '200880', '027410', '029530', '030610', '033270', '034830', '036420', '037270', '037560', '053210', '058430', '058650', '060980', '071320', '071970', '072710', '075580', '077500', '077970', '079160', '009290', '009680', '010690', '011000', '012030', '012630', '014830', '015540', '016800', '017390', '017810', '017940', '018470', '020000', '025860', '026890', '003280', '003300', '003520', '003570', '003920', '004430', '004690', '004700', '005090', '005390', '005500', '005690', '005810', '005950', '006390', '007570', '007690', '007810', '008350', '008490', '088260', '357120', '432320', '448730', '451800', '000370', '000430', '000680', '001200', '001340', '001510', '001780', '001820', '002030', '002310', '002320', '002960', '003000', '003060', '003220', '334890', '350520', '377190', '400760', '404990', '417310', '000020', '000050', '000140', '000180', '000230', '000300', '000320', '000390', '000480', '000490', '000500', '000520', '000540', '000700', '000860', '000970', '001080', '001130', '001230', '001250', '001270', '001360', '001460', '001500', '001520', '001630', '001750', '001790', '001880', '001940', '002020', '002100', '002150', '002170', '002200', '002210', '002390', '002450', '002460', '002600', '002620', '002700', '002780', '002810', '002900', '002990', '003070', '003120', '003160', '003200', '003350', '003460', '003480', '003580', '003650', '003720', '003830', '003960', '004080', '004090', '004100', '004150', '004250', '004310', '004360', '004380', '004560', '004710', '004720', '004830', '004840', '004890', '004920', '004970', '004980', '005010', '005430', '005440', '005680', '005720', '005960', '006060', '006220', '006370', '006490', '006840', '006880', '006890', '007160', '007210', '007280', '007540', '007860', '007980', '008040', '008060', '008260', '008700', '008870', '008970', '009070', '009160', '009190', '009200', '009270', '009410', '009470', '009580', '010040', '010100', '010580', '010600', '010820', '011150', '011280', '011300', '011330', '011500', '011690', '011700', '011760', '012320', '012610', '012690', '012800', '013570', '013580', '014160', '014280', '014530', '014580', '015230', '015360', '015590', '015860', '015890', '016450', '016580', '016590', '016610', '016710', '016740', '017040', '017370', '017550', '017900', '019440', '019680', '020120', '023000', '023450', '023800', '023810', '024090', '024720', '024900', '025000', '025820', '027970', '028100', '029460', '030210', '031440', '032560', '033530', '033920', '034590', '035000', '035150', '035510', '036530', '036580', '037710', '039570', '044450', '044820', '047400', '053690', '055490', '058850', '058860', '063160', '067830', '068290', '069460', '070960', '071840', '078520', '079430', '079980', '081000', '083420', '084680', '084690', '089470', '090350', '092200', '092230', '092790', '094280', '095570', '095720', '100250', '100840', '101530', '102260', '104700', '105840', '107590', '109070', '115390', '117580', '120030', '123690', '128820', '130660', '134380', '136490', '139990', '194370', '210540', '213500', '214330', '214390', '214420', '227840', '234080', '248170', '264900', '267290', '267850', '271980', '272550', '282690', '293480', '308170', '317400', '339770', '372910', '380440', '446070', '450140', '452260', '460850', '021050', '021820', '023150', '023350', '023960', '024070', '024890', '025530', '025560', '025620', '025750', '025890', '026940', '027740', '030720', '030790', '031820', '033180', '033250', '034300', '041650', '044380', '049800', '051630', '058730', '069640', '069730', '071090', '071950', '072130', '075180', '078000', '084670', '084870', '085310', '088790', '090080', '090370', '091090', '092440', '092780', '093240', '100220', '101140', '102280', '111110', '118000', '119650', '123700', '129260', '133820', '134790', '143210', '145210', '155660', '163560', '244920', '378850', '005740', '005750', '005800', '005820', '005870', '006090', '006200', '006340', '006380', '006570', '006660', '006980', '007110', '007120', '007590', '007610', '008110', '008250', '008420', '008500', '008600', '009140', '009180', '009310', '009320', '009440', '009460', '009770', '009810', '010400', '010420', '010640', '010660', '010770', '010960', '011090', '011230', '011390', '011420', '012160', '012170', '012200', '012280', '012600', '013000', '013360', '013520', '013700', '013870', '014130', '014440', '014710', '014790', '014910', '014990', '015020', '015260', '016090', '016880', '017180', '018500', '019180', '019490', '020760', '140910', '145270', '204210', '338100', '357250', '357430', '396690', '155900', '000040', '000220', '000590', '000650', '000760', '000850', '000890', '000910', '000950', '001020', '001070', '001140', '001210', '001260', '001290', '001380', '001420', '001550', '001560', '001620', '001770', '002070', '002140', '002220', '002360', '002410', '002420', '002630', '002690', '002720', '002760', '002820', '002870', '002880', '002920', '003010', '003080', '003560', '003610', '003680', '003780', '004060', '004140', '004270', '004410', '004440', '004450', '004540', '004770', '004870', '004910', '004960', '005030', '005110', '005320', '005360']"
1,1002,코스피 대형주,"['005930', '373220', '000660', '207940', '005490', '006400', '051910', '005380', '003670', '035420', '000270', '012330', '035720', '105560', '068270', '028260', '055550', '096770', '066570', '047050', '032830', '003550', '000810', '033780', '323410', '086790', '329180', '015760', '018260', '034020', '009150', '138040', '034730', '010130', '017670', '352820', '316140', '030200', '010950', '024110', '009540', '003490', '011200', '090430', '259960', '010140', '051900', '028050', '326030', '086280', '009830', '361610', '402340', '011070', '377300', '012450', '005830', '302440', '011170', '000100', '241560', '036570', '088980', '271560', '161390', '034220', '047810', '018880', '097950', '004020', '267250', '032640', '307950', '006800', '000720', '383220', '251270', '128940', '011780', '010620', '008770', '078930', '029780', '011790', '035250', '005940', '064350', '016360', '021240', '071050', '003410', '112610', '002790', '282330', '004990', '028670', '007070', '036460', '137310']"
2,1003,코스피 중형주,"['042660', '001570', '042700', '005070', '006260', '180640', '010120', '004370', '001450', '052690', '039490', '272210', '267260', '111770', '008930', '000990', '081660', '020150', '030000', '138930', '012750', '042670', '139480', '023530', '088350', '004170', '001040', '298050', '204320', '000150', '014680', '047040', '000120', '002380', '000880', '298040', '175330', '026960', '079550', '017800', '192820', '006040', '001740', '010060', '069960', '248070', '336260', '004000', '001440', '005850', '051600', '011210', '005420', '006110', '007310', '108320', '003230', '298020', '073240', '267270', '120110', '353200', '009240', '000080', '006280', '145720', '004800', '161890', '032350', '139130', '006360', '005300', '069620', '001120', '375500', '009420', '018670', '336370', '003690', '195870', '280360', '285130', '093370', '185750', '009900', '009970', '114090', '014820', '089860', '012510', '001060', '000240', '089590', '010780', '000670', '103140', '001800', '007340', '019170', '069260', '395400', '181710', '300720', '271940', '178920', '016380', '001430', '365550', '020560', '023590', '003090', '330590', '214320', '039130', '348950', '008730', '002840', '000210', '105630', '002350', '006650', '006120', '003030', '082740', '009450', '192650', '192080', '003540', '085620', '064960', '004490', '272450', '082640', '294870', '007700', '003240', '344820', '031430', '005250', '268280', '192400', '003850', '001680', '383800', '017960', '007460', '000070', '000640', '049770', '381970', '018250', '005880', '005610', '033240', '025540', '002240', '000400', '293940', '001720', '003530', '034120', '091810', '170900', '013890', '057050', '034310', '284740', '403550', '003470', '097520', '000370', '357120', '003000', '241590', '020000', '210980', '005690', '004430', '003520', '249420', '093050', '004690', '005950', '005090', '025860', '014830', '432320', '363280', '079160', '322000', '017390', '011000', '006220', '036420', '005440', '004360', '016710', '001230', '004890']"
3,1004,코스피 소형주,"['006740', '007660', '003620', '002710', '011810', '161000', '001470', '068400', '001390', '011930', '005180', '001530', '074610', '007690', '145990', '003280', '108670', '103590', '017810', '010690', '281820', '033270', '058650', '001200', '200880', '077500', '306200', '015540', '001820', '183190', '286940', '017940', '000680', '226320', '007810', '123890', '003220', '000430', '060980', '012630', '058430', '002030', '012030', '003060', '075580', '018470', '027410', '298690', '001340', '003300', '003570', '005810', '016800', '093230', '126560', '298000', '001780', '009290', '003920', '008350', '008490', '002310', '029530', '030610', '037270', '229640', '077970', '092220', '071970', '026890', '084010', '097230', '006390', '088260', '002320', '004700', '138490', '034830', '037560', '053210', '007570', '126720', '005390', '005500', '072710', '071320', '096760', '009680', '122900', '001510', '102460', '024720', '115390', '003120', '001940', '002960', '001790', '079980', '130660', '001630', '016580', '009160', '010600', '002150', '084690', '095720', '272550', '011760', '001500', '005010', '000020', '036530', '053690', '293480', '001460', '006840', '002900', '003960', '004380', '001880', '037710', '104700', '015890', '271980', '000480', '213500', '027970', '029460', '030210', '010580', '000050', '000490', '001520', '102260', '334890', '001270', '002810', '011500', '071840', '450140', '001130', '002020', '003160', '003200', '004980', '005720', '234080', '008060', '016590', '035510', '081000', '139990', '007210', '001250', '003070', '004250', '009580', '339770', '015860', '025000', '092230', '107590', '015590', '000140', '002990', '003720', '004560', '004710', '007160', '317400', '014580', '020120', '078520', '105840', '136490', '012320', '377190', '117580', '001360', '002100', '006060', '011330', '014280', '015230', '015360', '019680', '024900', '039570', '084680', '095570', '000540', '404990', '417310', '002390', '008260', '012610', '017370', '100250', '035150', '044450', '083420', '090350', '092200', '033530', '001080', '248170', '002780', '005680', '007540', '007860', '010820', '011280', '011700', '016450', '016610', '028100', '055490', '068290', '123690', '194370', '214390', '002620', '000320', '000390', '003580', '006890', '011300', '011690', '214330', '033920', '079430', '100840', '101530', '128820', '012800', '000700', '282690', '002170', '002210', '008040', '008700', '009410', '013570', '014530', '023800', '025820', '031440', '070960', '109070', '134380', '214420', '000970', '000500', '000860', '003350', '003830', '004970', '005960', '372910', '010100', '017900', '036580', '069460', '094280', '210540', '006490', '400760', '267850', '004080', '005430', '006370', '009190', '009270', '010040', '013580', '014160', '017550', '024090', '032560', '047400', '058850', '089470', '000180', '002200', '002700', '003460', '003650', '004310', '004830', '308170', '011150', '019440', '023000', '063160', '120030', '009070', '000230', '267290', '001750', '004090', '004100', '004150', '004920', '006880', '007280', '007980', '009470', '016740', '017040', '023450', '034590', '058860', '264900', '000520', '350520', '000300', '002450', '002460', '002600', '003480', '446070', '008970', '023810', '044820', '067830', '227840', '380440', '004840', '002140', '244920', '004060', '004140', '004720', '008870', '009200', '010660', '012690', '016090', '016880', '018500', '021050', '024890', '031820', '035000', '078000', '092440', '101140', '003610', '396690', '163560', '000910', '001260', '001560', '002220', '002720', '002760', '003780', '004540', '004770', '004910', '004960', '005360', '005740', '005800', '006340', '007110', '007590', '009440', '010960', '013360', '013520', '013870', '014790', '027740', '033180', '058730', '075180', '085310', '145210', '000220', '338100', '378850', '000650', '000850', '000890', '001290', '002360', '002630', '002920', '003010', '004270', '004410', '004450', '005870', '006090', '006660', '008110', '008250', '009320', '009810', '011230', '012600', '013700', '014710', '015260', '017180', '025750', '041650', '069640', '090080', '111110', '155660', '357430', '000590', '143210', '001550', '001620', '006980', '008420', '009180', '011390', '012160', '012170', '014130', '014440', '014990', '019490', '021820', '023350', '023960', '026940', '049800', '069730', '071090', '090370', '092780', '102280', '123700', '129260', '134790', '001380', '357250', '119650', '002410', '002880', '003080', '003560', '004440', '004870', '005750', '006570', '007610', '009460', '009770', '010640', '011420', '012200', '019180', '020760', '025530', '034300', '091090', '100220', '001070', '145270', '133820', '000040', '000760', '001140', '005320', '005820', '006200', '010770', '012280', '023150', '051630', '072130', '084870', '093240', '118000', '155900', '000950', '084670', '001420', '002070', '002420', '002690', '003680', '005030', '005110', '006380', '007120', '009140', '010400', '011090', '013000', '014910', '024070', '025560', '025620', '030720', '044380', '001020', '204210', '001210', '001770', '002820', '002870', '088790', '009310', '010420', '015020', '025890', '033250', '008600', '140910', '071950', '030790', '008500']"
4,1005,음식료품,"['271560', '097950', '004370', '007310', '003230', '000080', '005300', '280360', '001680', '049770', '005610', '005180', '145990', '017810', '003920', '001790', '003960', '001130', '136490', '248170', '101530', '033920', '008040', '036580', '011150', '264900', '002600', '002140', '027740', '006090', '000890', '014710', '004410', '006980', '023150', '003680']"
5,1006,섬유의복,"['383220', '105630', '020000', '093050', '001460', '003200', '016450', '011300', '009270', '007980', '016090', '003610', '005800', '111110', '102280', '014990', '090370', '001070', '005820', '093240', '084870', '002070', '000950', '008500']"
6,1007,종이목재,"['006740', '002310', '213500', '027970', '016590', '009580', '011280', '014160', '002200', '446070', '012690', '009200', '004540', '025750', '008250', '009770', '009460', '001020', '002820']"
7,1008,화학,"['051910', '096770', '010950', '090430', '001570', '051900', '009830', '011170', '005070', '161390', '011780', '011790', '002790', '298050', '014680', '002380', '000880', '192820', '010060', '004000', '005420', '298020', '120110', '073240', '161890', '457190', '285130', '093370', '014820', '456040', '069260', '178920', '000210', '008730', '002840', '006650', '002350', '161000', '003240', '268280', '018250', '001390', '007690', '108670', '004430', '005950', '014830', '226320', '025860', '001340', '298000', '008490', '138490', '115390', '002960', '079980', '272550', '015890', '011500', '004250', '005720', '092230', '078520', '081000', '025000', '002100', '006060', '003720', '012610', '035150', '100250', '083420', '090350', '055490', '000390', '282690', '006890', '000860', '003350', '214420', '014530', '134380', '003830', '003650', '089470', '004830', '023450', '004840', '024890', '004910', '002360', '002760', '163560', '007590', '003780', '001550', '014440', '003080', '006380', '051630', '024070', '010640', '025620']"
8,1009,의약품,"['207940', '068270', '302440', '000100', '128940', '006280', '069620', '009420', '185750', '001060', '019170', '003090', '003850', '170900', '377740', '003000', '003520', '033270', '249420', '005690', '003220', '003060', '009290', '011000', '005500', '007570', '102460', '003120', '001630', '016580', '000020', '293480', '271980', '234080', '001360', '214390', '002390', '002210', '063160', '004310', '000230', '000520', '004720', '000220', '002720', '017180', '002630']"
9,1010,비금속광물,"['003410', '010780', '300720', '344820', '462520', '183190', '003300', '006390', '000480', '001520', '004980', '007210', '014580', '047400', '010040', '004090', '008870', '000910', '001560', '011390', '005750', '004870', '004440']"
