,customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted
0,OA832399,XXXX,C01,F,2019-05-01,,CA1,0
1,PL270116,XXXXX,C01,M,2019-05-01,,CA1,0
2,OA974876,XXXXX,C01,M,2019-05-01,,CA1,0
3,HD024127,XXXXX,C01,F,2019-05-01,,CA1,0
4,HD661448,XXXXX,C03,F,2019-05-01,,CA1,0
5,IK271057,XXXXX,C01,M,2019-05-01,,CA1,0
6,HI324666,XXXXX,C01,M,2019-05-01,,CA1,0
7,AS647421,XXXXX,C01,F,2019-05-01,,CA1,0
8,AS069821,XXXXXX,C03,F,2019-05-01,,CA1,0
9,GD039425,XXXXX,C01,F,2019-05-01,,CA1,0
10,OA789036,XXXXX,C02,F,2019-05-01,,CA1,0
11,AS058623,XXXXX,C01,F,2019-05-01,,CA1,0
12,AS857207,XXXXX,C02,F,2019-05-01,,CA1,0
13,AS625883,XXXX,C02,F,2019-05-01,,CA1,0
14,HD782984,XXXXX,C02,F,2019-05-01,,CA1,0
15,HI804186,XXXX,C02,F,2019-05-01,,CA1,0
16,AS732240,XXXXX,C02,F,2019-05-01,,CA1,0
17,PL834411,XXXXX,C03,F,2019-05-01,,CA1,0
18,HD516059,XXX,C03,M,2019-05-01,,CA1,0
19,HD194702,XXXX,C02,F,2019-05-01,,CA1,0
20,IK102369,XXXX,C01,M,2019-05-01,,CA1,0
21,AS183155,XXXXX,C03,F,2019-05-01,,CA1,0
22,HI339146,XXXXX,C01,F,2019-05-01,,CA1,0
23,AS476267,XXXXX,C02,F,2019-05-01,,CA1,0
24,PL928545,XXXXXX,C02,F,2019-05-01,,CA1,0
25,OA372777,XXXXX,C03,M,2019-05-01,,CA1,0
26,PL765022,XXX,C01,M,2019-05-01,,CA1,0
27,OA803393,XXXX,C01,M,2019-05-01,,CA1,0
28,OA071756,XXX,C01,M,2019-05-01,,CA1,0
29,HI598974,XXX,C03,M,2019-05-01,,CA1,0
30,GD214739,XXXX,C01,M,2019-05-01,,CA1,0
31,OA557824,XXX,C02,F,2019-05-01,,CA1,0
32,IK098074,XX,C01,F,2019-05-01,,CA1,0
33,HD792156,XXXX,C01,F,2019-05-01,,CA1,0
34,OA478509,XXXX,C02,M,2019-05-01,,CA1,0
35,HI388582,XX,C02,F,2019-05-01,,CA1,0
36,TS210661,XXX,C01,M,2019-05-01,,CA1,0
37,TS837282,XXXXXX,C01,F,2019-05-01,,CA1,0
38,OA758157,XXXX,C01,M,2019-05-01,,CA1,0
39,OA790739,XXXX,C01,M,2019-05-01,,CA1,0
40,AS734592,XX,C02,F,2019-05-01,,CA1,0
41,GD022268,XXX,C02,M,2019-05-01,,CA1,0
42,IK059803,XXXXX,C02,F,2019-05-01,,CA1,0
