,살인,강도,강간·강제추행,절도,폭력
종로구,6,4,156,1079,1467
중구,6,6,161,1279,1409
용산구,3,1,141,945,1291
성동구,3,4,110,905,1090
광진구,5,4,208,1414,1456
동대문구,3,7,169,1240,1540
중랑구,4,6,141,1399,1660
성북구,4,2,118,895,1392
강북구,4,1,136,777,1383
도봉구,2,2,72,772,1012
노원구,6,3,156,1361,1899
은평구,4,3,166,1424,1647
서대문구,3,2,137,1027,1109
마포구,4,4,321,1510,1701
양천구,1,3,116,1349,1546
강서구,9,3,246,1540,2098
구로구,5,2,182,1390,1907
금천구,7,3,134,1013,1282
영등포구,8,11,279,1712,2169
동작구,2,1,180,1129,1319
관악구,8,7,321,1860,2248
서초구,9,5,312,1503,1827
강남구,12,25,578,2372,3159
송파구,3,7,247,2024,2433
강동구,3,6,124,1612,1713
